areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
region,London,E12000007,2022-05-05,737,2877819,611,2730326,126,147493
region,London,E12000007,2022-05-04,1235,2877082,1040,2729715,195,147367
region,London,E12000007,2022-05-03,1401,2875847,1167,2728675,234,147172
region,London,E12000007,2022-05-02,1355,2874446,1127,2727508,228,146938
region,London,E12000007,2022-05-01,933,2873091,805,2726381,128,146710
region,London,E12000007,2022-04-30,889,2872158,759,2725576,130,146582
region,London,E12000007,2022-04-29,1048,2871269,877,2724817,171,146452
region,London,E12000007,2022-04-28,1159,2870221,986,2723940,173,146281
region,London,E12000007,2022-04-27,1348,2869062,1132,2722954,216,146108
region,London,E12000007,2022-04-26,1329,2867714,1113,2721822,216,145892
region,London,E12000007,2022-04-25,1631,2866385,1351,2720709,280,145676
region,London,E12000007,2022-04-24,1382,2864754,1172,2719358,210,145396
region,London,E12000007,2022-04-23,1220,2863372,1042,2718186,178,145186
region,London,E12000007,2022-04-22,1525,2862152,1312,2717144,213,145008
region,London,E12000007,2022-04-21,1736,2860627,1479,2715832,257,144795
region,London,E12000007,2022-04-20,1993,2858891,1693,2714353,300,144538
region,London,E12000007,2022-04-19,2451,2856898,2044,2712660,407,144238
region,London,E12000007,2022-04-18,2445,2854447,2070,2710616,375,143831
region,London,E12000007,2022-04-17,1731,2852002,1512,2708546,219,143456
region,London,E12000007,2022-04-16,1760,2850271,1563,2707034,197,143237
region,London,E12000007,2022-04-15,1870,2848511,1648,2705471,222,143040
region,London,E12000007,2022-04-14,2408,2846641,2111,2703823,297,142818
region,London,E12000007,2022-04-13,2753,2844233,2414,2701712,339,142521
region,London,E12000007,2022-04-12,3058,2841480,2666,2699298,392,142182
region,London,E12000007,2022-04-11,3283,2838422,2858,2696632,425,141790
region,London,E12000007,2022-04-10,2851,2835139,2537,2693774,314,141365
region,London,E12000007,2022-04-09,2689,2832288,2362,2691237,327,141051
region,London,E12000007,2022-04-08,3218,2829599,2806,2688875,412,140724
region,London,E12000007,2022-04-07,3530,2826381,3094,2686069,436,140312
region,London,E12000007,2022-04-06,4195,2822851,3703,2682975,492,139876
region,London,E12000007,2022-04-05,4632,2818656,4127,2679272,505,139384
region,London,E12000007,2022-04-04,5254,2814024,4643,2675145,611,138879
region,London,E12000007,2022-04-03,3901,2808770,3441,2670502,460,138268
region,London,E12000007,2022-04-02,3771,2804869,3346,2667061,425,137808
region,London,E12000007,2022-04-01,5093,2801098,4498,2663715,595,137383
region,London,E12000007,2022-03-31,5753,2796005,5057,2659217,696,136788
region,London,E12000007,2022-03-30,7908,2790252,6950,2654160,958,136092
region,London,E12000007,2022-03-29,8377,2782344,7377,2647210,1000,135134
region,London,E12000007,2022-03-28,9469,2773967,8308,2639833,1161,134134
region,London,E12000007,2022-03-27,6887,2764498,6090,2631525,797,132973
region,London,E12000007,2022-03-26,6328,2757611,5671,2625435,657,132176
region,London,E12000007,2022-03-25,7562,2751283,6756,2619764,806,131519
region,London,E12000007,2022-03-24,8527,2743721,7556,2613008,971,130713
region,London,E12000007,2022-03-23,9677,2735194,8604,2605452,1073,129742
region,London,E12000007,2022-03-22,10018,2725517,8871,2596848,1147,128669
region,London,E12000007,2022-03-21,10838,2715499,9587,2587977,1251,127522
region,London,E12000007,2022-03-20,7627,2704661,6776,2578390,851,126271
region,London,E12000007,2022-03-19,6600,2697034,5900,2571614,700,125420
region,London,E12000007,2022-03-18,7734,2690434,6891,2565714,843,124720
region,London,E12000007,2022-03-17,8602,2682700,7677,2558823,925,123877
region,London,E12000007,2022-03-16,9277,2674098,8260,2551146,1017,122952
region,London,E12000007,2022-03-15,9361,2664821,8397,2542886,964,121935
region,London,E12000007,2022-03-14,9885,2655460,8846,2534489,1039,120971
region,London,E12000007,2022-03-13,7201,2645575,6432,2525643,769,119932
region,London,E12000007,2022-03-12,6263,2638374,5609,2519211,654,119163
region,London,E12000007,2022-03-11,6811,2632111,6145,2513602,666,118509
region,London,E12000007,2022-03-10,7324,2625300,6542,2507457,782,117843
region,London,E12000007,2022-03-09,7688,2617976,6839,2500915,849,117061
region,London,E12000007,2022-03-08,7213,2610288,6495,2494076,718,116212
region,London,E12000007,2022-03-07,6992,2603075,6278,2487581,714,115494
region,London,E12000007,2022-03-06,5015,2596083,4502,2481303,513,114780
region,London,E12000007,2022-03-05,4220,2591068,3851,2476801,369,114267
region,London,E12000007,2022-03-04,4603,2586848,4188,2472950,415,113898
region,London,E12000007,2022-03-03,4922,2582245,4473,2468762,449,113483
region,London,E12000007,2022-03-02,5186,2577323,4676,2464289,510,113034
region,London,E12000007,2022-03-01,4819,2572137,4396,2459613,423,112524
region,London,E12000007,2022-02-28,4868,2567318,4379,2455217,489,112101
region,London,E12000007,2022-02-27,3201,2562450,2876,2450838,325,111612
region,London,E12000007,2022-02-26,2661,2559249,2413,2447962,248,111287
region,London,E12000007,2022-02-25,3064,2556588,2803,2445549,261,111039
region,London,E12000007,2022-02-24,3460,2553524,3152,2442746,308,110778
