areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
region,London,E12000007,2022-02-23,4159,2550064,3804,2439594,355,110470
region,London,E12000007,2022-02-22,4648,2545905,4177,2435790,471,110115
region,London,E12000007,2022-02-21,5416,2541257,4885,2431613,531,109644
region,London,E12000007,2022-02-20,4620,2535841,4191,2426728,429,109113
region,London,E12000007,2022-02-19,4423,2531221,4029,2422537,394,108684
region,London,E12000007,2022-02-18,3408,2526798,3087,2418508,321,108290
region,London,E12000007,2022-02-17,5290,2523390,4821,2415421,469,107969
region,London,E12000007,2022-02-16,6053,2518100,5516,2410600,537,107500
region,London,E12000007,2022-02-15,5778,2512047,5279,2405084,499,106963
region,London,E12000007,2022-02-14,6054,2506269,5511,2399805,543,106464
region,London,E12000007,2022-02-13,4387,2500215,3988,2394294,399,105921
region,London,E12000007,2022-02-12,4347,2495828,3972,2390306,375,105522
region,London,E12000007,2022-02-11,5298,2491481,4843,2386334,455,105147
region,London,E12000007,2022-02-10,6450,2486183,5823,2381491,627,104692
region,London,E12000007,2022-02-09,7792,2479733,7047,2375668,745,104065
region,London,E12000007,2022-02-08,8384,2471941,7606,2368621,778,103320
region,London,E12000007,2022-02-07,9027,2463557,8161,2361015,866,102542
region,London,E12000007,2022-02-06,7069,2454530,6356,2352854,713,101676
region,London,E12000007,2022-02-05,6450,2447461,5848,2346498,602,100963
region,London,E12000007,2022-02-04,7541,2441011,6848,2340650,693,100361
region,London,E12000007,2022-02-03,9219,2433470,8405,2333802,814,99668
region,London,E12000007,2022-02-02,10704,2424251,9707,2325397,997,98854
region,London,E12000007,2022-02-01,11070,2413547,10017,2315690,1053,97857
region,London,E12000007,2022-01-31,11948,2402477,10893,2305673,1055,96804
region,London,E12000007,2022-01-30,9837,2390529,8889,2294780,948,95749
region,London,E12000007,2022-01-29,8726,2380692,7953,2285891,773,94801
region,London,E12000007,2022-01-28,9906,2371966,9022,2277938,884,94028
region,London,E12000007,2022-01-27,11571,2362060,10535,2268916,1036,93144
region,London,E12000007,2022-01-26,13077,2350489,11943,2258381,1134,92108
region,London,E12000007,2022-01-25,13241,2337412,12013,2246438,1228,90974
region,London,E12000007,2022-01-24,14408,2324171,13019,2234425,1389,89746
region,London,E12000007,2022-01-23,11343,2309763,10335,2221406,1008,88357
region,London,E12000007,2022-01-22,9637,2298420,8823,2211071,814,87349
region,London,E12000007,2022-01-21,10712,2288783,9772,2202248,940,86535
region,London,E12000007,2022-01-20,12020,2278071,10928,2192476,1092,85595
region,London,E12000007,2022-01-19,13016,2266051,11876,2181548,1140,84503
region,London,E12000007,2022-01-18,13874,2253035,12689,2169672,1185,83363
region,London,E12000007,2022-01-17,15121,2239161,13835,2156983,1286,82178
region,London,E12000007,2022-01-16,11246,2224040,10292,2143148,954,80892
region,London,E12000007,2022-01-15,9533,2212794,8775,2132856,758,79938
region,London,E12000007,2022-01-14,10512,2203261,9637,2124081,875,79180
region,London,E12000007,2022-01-13,11818,2192749,10861,2114444,957,78305
region,London,E12000007,2022-01-12,12936,2180931,11774,2103583,1162,77348
region,London,E12000007,2022-01-11,14417,2167995,13245,2091809,1172,76186
region,London,E12000007,2022-01-10,16624,2153578,15226,2078564,1398,75014
region,London,E12000007,2022-01-09,12131,2136954,11101,2063338,1030,73616
region,London,E12000007,2022-01-08,12168,2124823,11122,2052237,1046,72586
region,London,E12000007,2022-01-07,15177,2112655,13853,2041115,1324,71540
region,London,E12000007,2022-01-06,22193,2097478,20172,2027262,2021,70216
region,London,E12000007,2022-01-05,25231,2075285,22910,2007090,2321,68195
region,London,E12000007,2022-01-04,32092,2050054,29039,1984180,3053,65874
region,London,E12000007,2022-01-03,26948,2017962,24488,1955141,2460,62821
region,London,E12000007,2022-01-02,21912,1991014,19917,1930653,1995,60361
region,London,E12000007,2022-01-01,13620,1969102,12409,1910736,1211,58366
region,London,E12000007,2021-12-31,22197,1955482,20255,1898327,1942,57155
region,London,E12000007,2021-12-30,29440,1933285,26897,1878072,2543,55213
region,London,E12000007,2021-12-29,36920,1903845,33786,1851175,3134,52670
region,London,E12000007,2021-12-28,28191,1866925,25767,1817389,2424,49536
region,London,E12000007,2021-12-27,28062,1838734,25719,1791622,2343,47112
region,London,E12000007,2021-12-26,18747,1810672,17323,1765903,1424,44769
region,London,E12000007,2021-12-25,11170,1791925,10331,1748580,839,43345
region,London,E12000007,2021-12-24,24100,1780755,22140,1738249,1960,42506
region,London,E12000007,2021-12-23,31069,1756655,28440,1716109,2629,40546
region,London,E12000007,2021-12-22,32163,1725586,29529,1687669,2634,37917
region,London,E12000007,2021-12-21,33935,1693423,31185,1658140,2750,35283
region,London,E12000007,2021-12-20,32668,1659488,29971,1626955,2697,32533
region,London,E12000007,2021-12-19,22609,1626820,20752,1596984,1857,29836
region,London,E12000007,2021-12-18,24959,1604211,22984,1576232,1975,27979
region,London,E12000007,2021-12-17,27161,1579252,24831,1553248,2330,26004
region,London,E12000007,2021-12-16,30049,1552091,27478,1528417,2571,23674
region,London,E12000007,2021-12-15,31007,1522042,28390,1500939,2617,21103
region,London,E12000007,2021-12-14,29564,1491035,27248,1472549,2316,18486
region,London,E12000007,2021-12-13,22843,1461471,21323,1445301,1520,16170
region,London,E12000007,2021-12-12,12254,1438628,11596,1423978,658,14650
region,London,E12000007,2021-12-11,9887,1426374,9358,1412382,529,13992
region,London,E12000007,2021-12-10,10213,1416487,9690,1403024,523,13463
region,London,E12000007,2021-12-09,10325,1406274,9791,1393334,534,12940
region,London,E12000007,2021-12-08,10023,1395949,9506,1383543,517,12406
region,London,E12000007,2021-12-07,9083,1385926,8668,1374037,415,11889
region,London,E12000007,2021-12-06,8555,1376843,8247,1365369,308,11474
region,London,E12000007,2021-12-05,5519,1368288,5381,1357122,138,11166
region,London,E12000007,2021-12-04,5333,1362769,5228,1351741,105,11028
region,London,E12000007,2021-12-03,6092,1357436,5968,1346513,124,10923
region,London,E12000007,2021-12-02,6521,1351344,6403,1340545,118,10799
region,London,E12000007,2021-12-01,7050,1344823,6939,1334142,111,10681
region,London,E12000007,2021-11-30,6833,1337773,6718,1327203,115,10570
region,London,E12000007,2021-11-29,6858,1330940,6735,1320485,123,10455
region,London,E12000007,2021-11-28,4381,1324082,4307,1313750,74,10332
region,London,E12000007,2021-11-27,4335,1319701,4265,1309443,70,10258
region,London,E12000007,2021-11-26,4609,1315366,4541,1305178,68,10188
region,London,E12000007,2021-11-25,5185,1310757,5106,1300637,79,10120
region,London,E12000007,2021-11-24,5400,1305572,5305,1295531,95,10041
region,London,E12000007,2021-11-23,5289,1300172,5206,1290226,83,9946
region,London,E12000007,2021-11-22,5406,1294883,5333,1285020,73,9863
region,London,E12000007,2021-11-21,3831,1289477,3786,1279687,45,9790
region,London,E12000007,2021-11-20,3702,1285646,3644,1275901,58,9745
region,London,E12000007,2021-11-19,3943,1281944,3896,1272257,47,9687
region,London,E12000007,2021-11-18,4500,1278001,4426,1268361,74,9640
region,London,E12000007,2021-11-17,4499,1273501,4438,1263935,61,9566
region,London,E12000007,2021-11-16,4455,1269002,4386,1259497,69,9505
region,London,E12000007,2021-11-15,5148,1264547,5069,1255111,79,9436
region,London,E12000007,2021-11-14,3261,1259399,3210,1250042,51,9357
region,London,E12000007,2021-11-13,3235,1256138,3195,1246832,40,9306
region,London,E12000007,2021-11-12,3685,1252903,3619,1243637,66,9266
region,London,E12000007,2021-11-11,3922,1249218,3862,1240018,60,9200
region,London,E12000007,2021-11-10,4131,1245296,4057,1236156,74,9140
region,London,E12000007,2021-11-09,4009,1241165,3942,1232099,67,9066
region,London,E12000007,2021-11-08,3991,1237156,3914,1228157,77,8999
region,London,E12000007,2021-11-07,2814,1233165,2760,1224243,54,8922
region,London,E12000007,2021-11-06,2537,1230351,2496,1221483,41,8868
region,London,E12000007,2021-11-05,2782,1227814,2715,1218987,67,8827
region,London,E12000007,2021-11-04,3076,1225032,3041,1216272,35,8760
region,London,E12000007,2021-11-03,3289,1221956,3249,1213231,40,8725
region,London,E12000007,2021-11-02,3452,1218667,3395,1209982,57,8685
region,London,E12000007,2021-11-01,3915,1215215,3846,1206587,69,8628
region,London,E12000007,2021-10-31,2999,1211300,2936,1202741,63,8559
region,London,E12000007,2021-10-30,2906,1208301,2876,1199805,30,8496
region,London,E12000007,2021-10-29,3450,1205395,3392,1196929,58,8466
region,London,E12000007,2021-10-28,3616,1201945,3564,1193537,52,8408
region,London,E12000007,2021-10-27,3754,1198329,3702,1189973,52,8356
region,London,E12000007,2021-10-26,3513,1194575,3468,1186271,45,8304
region,London,E12000007,2021-10-25,4022,1191062,3953,1182803,69,8259
region,London,E12000007,2021-10-24,2836,1187040,2799,1178850,37,8190
region,London,E12000007,2021-10-23,2893,1184204,2853,1176051,40,8153
region,London,E12000007,2021-10-22,3523,1181311,3464,1173198,59,8113
region,London,E12000007,2021-10-21,3968,1177788,3913,1169734,55,8054
region,London,E12000007,2021-10-20,4361,1173820,4299,1165821,62,7999
region,London,E12000007,2021-10-19,4455,1169459,4379,1161522,76,7937
region,London,E12000007,2021-10-18,4566,1165004,4499,1157143,67,7861
region,London,E12000007,2021-10-17,3361,1160438,3313,1152644,48,7794
region,London,E12000007,2021-10-16,2806,1157077,2770,1149331,36,7746
region,London,E12000007,2021-10-15,3321,1154271,3267,1146561,54,7710
region,London,E12000007,2021-10-14,3470,1150950,3418,1143294,52,7656
region,London,E12000007,2021-10-13,3571,1147480,3530,1139876,41,7604
region,London,E12000007,2021-10-12,3421,1143909,3383,1136346,38,7563
region,London,E12000007,2021-10-11,3887,1140488,3844,1132963,43,7525
region,London,E12000007,2021-10-10,2781,1136601,2744,1129119,37,7482
region,London,E12000007,2021-10-09,2487,1133820,2446,1126375,41,7445
region,London,E12000007,2021-10-08,2700,1131333,2668,1123929,32,7404
region,London,E12000007,2021-10-07,2972,1128633,2934,1121261,38,7372
region,London,E12000007,2021-10-06,2862,1125661,2830,1118327,32,7334
region,London,E12000007,2021-10-05,3123,1122799,3076,1115497,47,7302
region,London,E12000007,2021-10-04,3363,1119676,3317,1112421,46,7255
region,London,E12000007,2021-10-03,2570,1116313,2533,1109104,37,7209
region,London,E12000007,2021-10-02,2201,1113743,2167,1106571,34,7172
region,London,E12000007,2021-10-01,2231,1111542,2202,1104404,29,7138
region,London,E12000007,2021-09-30,2645,1109311,2617,1102202,28,7109
region,London,E12000007,2021-09-29,2826,1106666,2796,1099585,30,7081
region,London,E12000007,2021-09-28,2840,1103840,2810,1096789,30,7051
region,London,E12000007,2021-09-27,3514,1101000,3458,1093979,56,7021
region,London,E12000007,2021-09-26,2552,1097486,2511,1090521,41,6965
region,London,E12000007,2021-09-25,2333,1094934,2306,1088010,27,6924
region,London,E12000007,2021-09-24,2435,1092601,2388,1085704,47,6897
region,London,E12000007,2021-09-23,2793,1090166,2739,1083316,54,6850
region,London,E12000007,2021-09-22,2867,1087373,2822,1080577,45,6796
region,London,E12000007,2021-09-21,2969,1084506,2920,1077755,49,6751
region,London,E12000007,2021-09-20,3177,1081537,3126,1074835,51,6702
region,London,E12000007,2021-09-19,2378,1078360,2343,1071709,35,6651
region,London,E12000007,2021-09-18,2165,1075982,2122,1069366,43,6616
region,London,E12000007,2021-09-17,2415,1073817,2380,1067244,35,6573
region,London,E12000007,2021-09-16,2394,1071402,2354,1064864,40,6538
region,London,E12000007,2021-09-15,2477,1069008,2443,1062510,34,6498
region,London,E12000007,2021-09-14,2641,1066531,2611,1060067,30,6464
region,London,E12000007,2021-09-13,2860,1063890,2820,1057456,40,6434
region,London,E12000007,2021-09-12,2064,1061030,2025,1054636,39,6394
region,London,E12000007,2021-09-11,2227,1058966,2191,1052611,36,6355
region,London,E12000007,2021-09-10,2569,1056739,2532,1050420,37,6319
region,London,E12000007,2021-09-09,2805,1054170,2762,1047888,43,6282
region,London,E12000007,2021-09-08,3214,1051365,3162,1045126,52,6239
region,London,E12000007,2021-09-07,3462,1048151,3410,1041964,52,6187
region,London,E12000007,2021-09-06,3892,1044689,3824,1038554,68,6135
region,London,E12000007,2021-09-05,2706,1040797,2658,1034730,48,6067
region,London,E12000007,2021-09-04,2756,1038091,2722,1032072,34,6019
region,London,E12000007,2021-09-03,3531,1035335,3482,1029350,49,5985
region,London,E12000007,2021-09-02,3811,1031804,3754,1025868,57,5936
region,London,E12000007,2021-09-01,3677,1027993,3621,1022114,56,5879
region,London,E12000007,2021-08-31,3810,1024316,3734,1018493,76,5823
region,London,E12000007,2021-08-30,2873,1020506,2834,1014759,39,5747
region,London,E12000007,2021-08-29,2286,1017633,2251,1011925,35,5708
region,London,E12000007,2021-08-28,2645,1015347,2599,1009674,46,5673
region,London,E12000007,2021-08-27,3140,1012702,3101,1007075,39,5627
region,London,E12000007,2021-08-26,3246,1009562,3207,1003974,39,5588
region,London,E12000007,2021-08-25,3525,1006316,3470,1000767,55,5549
region,London,E12000007,2021-08-24,3516,1002791,3462,997297,54,5494
region,London,E12000007,2021-08-23,3657,999275,3607,993835,50,5440
region,London,E12000007,2021-08-22,2721,995618,2676,990228,45,5390
region,London,E12000007,2021-08-21,2727,992897,2684,987552,43,5345
region,London,E12000007,2021-08-20,3167,990170,3125,984868,42,5302
region,London,E12000007,2021-08-19,3625,987003,3576,981743,49,5260
region,London,E12000007,2021-08-18,3803,983378,3728,978167,75,5211
region,London,E12000007,2021-08-17,3824,979575,3755,974439,69,5136
region,London,E12000007,2021-08-16,3926,975751,3871,970684,55,5067
region,London,E12000007,2021-08-15,2759,971825,2727,966813,32,5012
region,London,E12000007,2021-08-14,2948,969066,2911,964086,37,4980
region,London,E12000007,2021-08-13,3761,966118,3708,961175,53,4943
region,London,E12000007,2021-08-12,4017,962357,3955,957467,62,4890
region,London,E12000007,2021-08-11,4369,958340,4319,953512,50,4828
region,London,E12000007,2021-08-10,3928,953971,3866,949193,62,4778
region,London,E12000007,2021-08-09,3877,950043,3819,945327,58,4716
region,London,E12000007,2021-08-08,2914,946166,2876,941508,38,4658
region,London,E12000007,2021-08-07,3015,943252,2969,938632,46,4620
region,London,E12000007,2021-08-06,3731,940237,3673,935663,58,4574
region,London,E12000007,2021-08-05,4295,936506,4228,931990,67,4516
region,London,E12000007,2021-08-04,4294,932211,4242,927762,52,4449
region,London,E12000007,2021-08-03,4021,927917,3962,923520,59,4397
region,London,E12000007,2021-08-02,3987,923896,3938,919558,49,4338
region,London,E12000007,2021-08-01,2693,919909,2661,915620,32,4289
region,London,E12000007,2021-07-31,2669,917216,2628,912959,41,4257
region,London,E12000007,2021-07-30,3356,914547,3306,910331,50,4216
region,London,E12000007,2021-07-29,3901,911191,3853,907025,48,4166
region,London,E12000007,2021-07-28,3964,907290,3912,903172,52,4118
region,London,E12000007,2021-07-27,3905,903326,3851,899260,54,4066
region,London,E12000007,2021-07-26,4042,899421,3987,895409,55,4012
region,London,E12000007,2021-07-25,2881,895379,2845,891422,36,3957
region,London,E12000007,2021-07-24,3117,892498,3079,888577,38,3921
region,London,E12000007,2021-07-23,3927,889381,3888,885498,39,3883
region,London,E12000007,2021-07-22,4313,885454,4262,881610,51,3844
region,London,E12000007,2021-07-21,4783,881141,4727,877348,56,3793
region,London,E12000007,2021-07-20,5159,876358,5079,872621,80,3737
region,London,E12000007,2021-07-19,6135,871199,6056,867542,79,3657
region,London,E12000007,2021-07-18,4523,865064,4463,861486,60,3578
region,London,E12000007,2021-07-17,5079,860541,5014,857023,65,3518
region,London,E12000007,2021-07-16,7136,855462,7060,852009,76,3453
region,London,E12000007,2021-07-15,7817,848326,7721,844949,96,3377
region,London,E12000007,2021-07-14,6573,840509,6470,837228,103,3281
region,London,E12000007,2021-07-13,5309,833936,5237,830758,72,3178
region,London,E12000007,2021-07-12,4968,828627,4918,825521,50,3106
region,London,E12000007,2021-07-11,3283,823659,3245,820603,38,3056
region,London,E12000007,2021-07-10,3250,820376,3203,817358,47,3018
region,London,E12000007,2021-07-09,3654,817126,3605,814155,49,2971
region,London,E12000007,2021-07-08,3686,813472,3624,810550,62,2922
region,London,E12000007,2021-07-07,4500,809786,4449,806926,51,2860
region,London,E12000007,2021-07-06,4022,805286,3968,802477,54,2809
region,London,E12000007,2021-07-05,3860,801264,3797,798509,63,2755
region,London,E12000007,2021-07-04,2633,797404,2594,794712,39,2692
region,London,E12000007,2021-07-03,2683,794771,2645,792118,38,2653
region,London,E12000007,2021-07-02,2944,792088,2905,789473,39,2615
region,London,E12000007,2021-07-01,3098,789144,3049,786568,49,2576
region,London,E12000007,2021-06-30,3082,786046,3040,783519,42,2527
region,London,E12000007,2021-06-29,2996,782964,2961,780479,35,2485
region,London,E12000007,2021-06-28,2873,779968,2835,777518,38,2450
region,London,E12000007,2021-06-27,1890,777095,1867,774683,23,2412
region,London,E12000007,2021-06-26,1722,775205,1701,772816,21,2389
region,London,E12000007,2021-06-25,2057,773483,2025,771115,32,2368
region,London,E12000007,2021-06-24,1959,771426,1926,769090,33,2336
region,London,E12000007,2021-06-23,1971,769467,1949,767164,22,2303
region,London,E12000007,2021-06-22,1787,767496,1763,765215,24,2281
region,London,E12000007,2021-06-21,1654,765709,1630,763452,24,2257
region,London,E12000007,2021-06-20,971,764055,957,761822,14,2233
region,London,E12000007,2021-06-19,924,763084,904,760865,20,2219
region,London,E12000007,2021-06-18,1038,762160,1017,759961,21,2199
region,London,E12000007,2021-06-17,1300,761122,1273,758944,27,2178
region,London,E12000007,2021-06-16,1163,759822,1145,757671,18,2151
region,London,E12000007,2021-06-15,1300,758659,1267,756526,33,2133
region,London,E12000007,2021-06-14,1208,757359,1188,755259,20,2100
region,London,E12000007,2021-06-13,767,756151,753,754071,14,2080
region,London,E12000007,2021-06-12,772,755384,756,753318,16,2066
region,London,E12000007,2021-06-11,938,754612,919,752562,19,2050
region,London,E12000007,2021-06-10,996,753674,977,751643,19,2031
region,London,E12000007,2021-06-09,1077,752678,1056,750666,21,2012
region,London,E12000007,2021-06-08,1095,751601,1066,749610,29,1991
region,London,E12000007,2021-06-07,1017,750506,997,748544,20,1962
region,London,E12000007,2021-06-06,667,749489,651,747547,16,1942
region,London,E12000007,2021-06-05,598,748822,592,746896,6,1926
region,London,E12000007,2021-06-04,703,748224,693,746304,10,1920
region,London,E12000007,2021-06-03,797,747521,777,745611,20,1910
region,London,E12000007,2021-06-02,814,746724,802,744834,12,1890
region,London,E12000007,2021-06-01,713,745910,692,744032,21,1878
region,London,E12000007,2021-05-31,515,745197,501,743340,14,1857
region,London,E12000007,2021-05-30,401,744682,393,742839,8,1843
region,London,E12000007,2021-05-29,385,744281,380,742446,5,1835
region,London,E12000007,2021-05-28,430,743896,415,742066,15,1830
region,London,E12000007,2021-05-27,520,743466,504,741651,16,1815
region,London,E12000007,2021-05-26,485,742946,476,741147,9,1799
region,London,E12000007,2021-05-25,424,742461,407,740671,17,1790
region,London,E12000007,2021-05-24,380,742037,366,740264,14,1773
region,London,E12000007,2021-05-23,281,741657,271,739898,10,1759
region,London,E12000007,2021-05-22,249,741376,235,739627,14,1749
region,London,E12000007,2021-05-21,273,741127,264,739392,9,1735
region,London,E12000007,2021-05-20,329,740854,317,739128,12,1726
region,London,E12000007,2021-05-19,360,740525,342,738811,18,1714
region,London,E12000007,2021-05-18,329,740165,320,738469,9,1696
region,London,E12000007,2021-05-17,340,739836,329,738149,11,1687
region,London,E12000007,2021-05-16,224,739496,214,737820,10,1676
region,London,E12000007,2021-05-15,194,739272,186,737606,8,1666
region,London,E12000007,2021-05-14,251,739078,240,737420,11,1658
region,London,E12000007,2021-05-13,263,738827,250,737180,13,1647
region,London,E12000007,2021-05-12,233,738564,225,736930,8,1634
region,London,E12000007,2021-05-11,298,738331,286,736705,12,1626
region,London,E12000007,2021-05-10,362,738033,350,736419,12,1614
region,London,E12000007,2021-05-09,287,737671,270,736069,17,1602
region,London,E12000007,2021-05-08,191,737384,185,735799,6,1585
region,London,E12000007,2021-05-07,237,737193,230,735614,7,1579
region,London,E12000007,2021-05-06,300,736956,286,735384,14,1572
region,London,E12000007,2021-05-05,283,736656,274,735098,9,1558
region,London,E12000007,2021-05-04,316,736373,304,734824,12,1549
region,London,E12000007,2021-05-03,250,736057,243,734520,7,1537
region,London,E12000007,2021-05-02,183,735807,174,734277,9,1530
region,London,E12000007,2021-05-01,187,735624,177,734103,10,1521
region,London,E12000007,2021-04-30,240,735437,228,733926,12,1511
region,London,E12000007,2021-04-29,216,735197,203,733698,13,1499
region,London,E12000007,2021-04-28,307,734981,292,733495,15,1486
region,London,E12000007,2021-04-27,286,734674,276,733203,10,1471
region,London,E12000007,2021-04-26,325,734388,308,732927,17,1461
region,London,E12000007,2021-04-25,281,734063,272,732619,9,1444
region,London,E12000007,2021-04-24,247,733782,235,732347,12,1435
region,London,E12000007,2021-04-23,250,733535,241,732112,9,1423
region,London,E12000007,2021-04-22,327,733285,308,731871,19,1414
region,London,E12000007,2021-04-21,389,732958,363,731563,26,1395
region,London,E12000007,2021-04-20,377,732569,353,731200,24,1369
region,London,E12000007,2021-04-19,395,732192,375,730847,20,1345
region,London,E12000007,2021-04-18,395,731797,377,730472,18,1325
region,London,E12000007,2021-04-17,231,731402,222,730095,9,1307
region,London,E12000007,2021-04-16,332,731171,321,729873,11,1298
region,London,E12000007,2021-04-15,321,730839,309,729552,12,1287
region,London,E12000007,2021-04-14,295,730518,286,729243,9,1275
region,London,E12000007,2021-04-13,303,730223,292,728957,11,1266
region,London,E12000007,2021-04-12,353,729920,341,728665,12,1255
region,London,E12000007,2021-04-11,312,729567,307,728324,5,1243
region,London,E12000007,2021-04-10,293,729255,286,728017,7,1238
region,London,E12000007,2021-04-09,376,728962,366,727731,10,1231
region,London,E12000007,2021-04-08,330,728586,322,727365,8,1221
region,London,E12000007,2021-04-07,372,728256,357,727043,15,1213
region,London,E12000007,2021-04-06,359,727884,345,726686,14,1198
region,London,E12000007,2021-04-05,262,727525,254,726341,8,1184
region,London,E12000007,2021-04-04,221,727263,217,726087,4,1176
region,London,E12000007,2021-04-03,252,727042,248,725870,4,1172
region,London,E12000007,2021-04-02,271,726790,264,725622,7,1168
region,London,E12000007,2021-04-01,370,726519,359,725358,11,1161
region,London,E12000007,2021-03-31,322,726149,315,724999,7,1150
region,London,E12000007,2021-03-30,384,725827,380,724684,4,1143
region,London,E12000007,2021-03-29,428,725443,421,724304,7,1139
region,London,E12000007,2021-03-28,530,725015,518,723883,12,1132
region,London,E12000007,2021-03-27,322,724485,317,723365,5,1120
