metro_area,start_date,end_date,category,measure,encoding,authority,source
New York,2020-10-06,2020-11-26,Gathering Restrictions,Prohibit indoor gatherings of over 10 people,2,New York State,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_New_York_City
Paris,2020-10-14,NA,State of Emergency,National state of emergency,1,France,https://www.reuters.com/article/us-health-coronavirus-france-emergency-idUSKBN26Z2PQ
Paris,2020-10-30,2020-12-15,Gathering Restrictions,Prohibit all indoor gatherings,3,France,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_France
London,2020-11-05,2021-07-10,Major Border Closure,Ban on non-essential travel,1,United Kingdom,https://news.gtp.gr/2020/11/03/uk-covid-19-lockdown-bans-all-non-essential-travel/
London,2020-11-05,2020-12-02,Gathering Restrictions,Prohibit all indoor gatherings,3,United Kingdom,https://www.instituteforgovernment.org.uk/sites/default/files/timeline-lockdown-web.pdf
Toronto,2020-11-14,2021-01-14,Gathering Restrictions,Prohibit indoor gatherings of over 5 people,2,Ontario,https://www.ontario.ca/page/covid-19-response-framework-keeping-ontario-safe-and-open?fbclid=IwAR34f9Gs0xePrsusLmsbKsx6HWwJJrrGmaOsk_m1Lph3NRT6G_n82ZvQDvI#red
Philadelphia,2020-11-16,2021-01-04,Gathering Restrictions,Prohibit all indoor gatherings,3,Philadelphia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Philadelphia
Brisbane,2020-11-17,2021-01-08,Gathering Restrictions,Prohibit indoor gatherings of over 50 people,1,Queensland,https://www.abc.net.au/news/2020-11-13/queensland-coronavirus-palaszczuk-easing-covid19-restrictions/12857922
Calgary,2020-11-24,2020-12-22,Gathering Restrictions,Prohibit all indoor gatherings,3,Alberta,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Alberta
New York,2020-11-26,2021-05-19,Gathering Restrictions,Prohibit indoor gatherings of over 50 people,1,New York State,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_New_York_City
Paris,2020-12-15,2021-04-03,Gathering Restrictions,Prohibit indoor gatherings of over 10 people,2,France,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_France
London,2020-12-21,2021-07-19,Gathering Restrictions,Prohibit all indoor gatherings,3,United Kingdom,https://www.instituteforgovernment.org.uk/sites/default/files/timeline-lockdown-web.pdf
Calgary,2020-12-22,2021-03-08,Gathering Restrictions,Prohibit indoor gatherings of over 10 people,2,Alberta,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Alberta
Philadelphia,2021-01-04,2021-05-07,Gathering Restrictions,Prohibit indoor gatherings of over 25 people,2,Philadelphia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Philadelphia
Brisbane,2021-01-08,2021-01-11,Gathering Restrictions,Prohibit all indoor gatherings,3,Queensland,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Queensland
Toronto,2021-01-12,2021-02-09,State of Emergency,Province-wide state of emergency,1,Ontario,https://ca.news.yahoo.com/ontario-declares-state-emergency-issues-192544357.html
Toronto,2021-01-14,2021-02-22,Gathering Restrictions,Prohibit all indoor gatherings,3,Ontario,https://news.ontario.ca/en/release/59922/ontario-declares-second-provincial-emergency-to-address-covid-19-crisis-and-save-lives
Brisbane,2021-01-22,2021-03-29,Gathering Restrictions,Prohibit indoor gatherings of over 50 people,1,Queensland,https://www.abc.net.au/news/2021-01-21/coronavirus-restrictions-ease-greater-brisbane-masks/13069830
Chicago,2021-01-31,2021-06-11,Gathering Restrictions,Prohibit indoor gatherings of over 50 people,1,Illinois,https://www.chicagotribune.com/news/breaking/ct-chicago-phase-four-indoor-dining-remains-20210131-f4zc5zytwzh4hhszp3y5nv3evy-story.html
Paris,2021-01-31,2021-03-11,Major Border Closure,Non-EU border closure,1,France,https://newseu.cgtn.com/news/2021-01-31/France-rules-out-new-lockdown-but-closes-borders-to-most-non-EU-travel-XtRkvIwef6/index.html
Toronto,2021-02-22,2021-03-08,Gathering Restrictions,Prohibit all indoor gatherings,3,Ontario,https://toronto.ctvnews.ca/stay-at-home-order-lifts-today-in-toronto-and-peel-region-1.5337873
San Francisco,2021-03-02,2021-05-04,Gathering Restrictions,Prohibit indoor gatherings of over 10 people,2,California,https://sanfrancisco.cbslocal.com/2021/03/02/covid-19-san-francisco-red-tier-reopening-restaurants/
Calgary,2021-03-08,2021-04-07,Gathering Restrictions,Return to partial capacity limits,1,Alberta,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Alberta
Toronto,2021-03-08,2021-06-11,Gathering Restrictions,Prohibit all indoor gatherings,3,Ontario,https://www.ontario.ca/page/covid-19-response-framework-keeping-ontario-safe-and-open?fbclid=IwAR34f9Gs0xePrsusLmsbKsx6HWwJJrrGmaOsk_m1Lph3NRT6G_n82ZvQDvI#grey
Dallas,2021-03-02,NA,Gathering Restrictions,Return to normal capacity limits,0,Texas,https://www.kut.org/business/2021-03-02/watch-live-gov-greg-abbott-to-make-statewide-announcement-in-lubbock
San Antonio,2020-09-04,2020-09-07,Park Closures,County park closures,1,Bexar County,https://www.sacurrent.com/sanantonio/bexar-county-parks-will-close-over-the-labor-day-weekend-to-curb-covid-19-spread/Content?oid=24248168
Phoenix,2021-03-25,NA,Gathering Restrictions,Return to normal capacity limits,0,Arizona,https://www.abc15.com/entertainment/events/arizona-gov-doug-ducey-lifts-restrictions-on-large-events-in-arizona
Brisbane,2021-03-29,2021-04-01,Gathering Restrictions,Prohibit all indoor gatherings,3,Queensland,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Queensland
Paris,2021-04-03,2021-05-03,Gathering Restrictions,Prohibit all indoor gatherings,3,France,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_France
Calgary,2021-04-07,2021-06-10,Gathering Restrictions,Prohibit all indoor gatherings,3,Alberta,https://edmonton.ctvnews.ca/alberta-returns-to-step-1-of-restrictions-as-covid-19-variant-cases-rise-1.5376344
Toronto,2021-04-08,2021-07-22,State of Emergency,Province-wide state of emergency,1,Ontario,https://globalnews.ca/news/8046993/ottawa-covid-state-of-emergency-ending/
Paris,2021-05-03,2021-06-20,Gathering Restrictions,Prohibit indoor gatherings of over 10 people,2,France,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_France
San Francisco,2021-05-04,2022-04-01,Gathering Restrictions,Prohibit indoor gatherings of over 50 people,1,California,https://www.msn.com/en-us/news/us/san-francisco-is-moving-to-the-yellow-tier-here-e2-80-99s-what-will-change/ar-BB1gm99d
Philadelphia,2021-05-07,2021-06-12,Gathering Restrictions,Return to partial capacity limits,1,Philadelphia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Philadelphia
Brisbane,2021-06-01,2021-06-29,Gathering Restrictions,Prohibit indoor gatherings of over 20 people,2,Queensland,https://statements.qld.gov.au/statements/89931
Montréal,2021-06-07,2021-12-26,Gathering Restrictions,Prohibit indoor gatherings of over 10 people,2,Québec,https://www.msn.com/en-ca/news/canada/what-changes-now-that-montreal-is-an-orange-zone/ar-AAKMCe1
San Diego,2021-06-09,2022-04-01,Gathering Restrictions,Prohibit indoor gatherings of over 50 people,1,California,https://www.msn.com/en-us/travel/news/san-diego-county-eligible-to-move-into-yellow-tier-starting-wednesday/ar-AAKPCfg
Calgary,2021-06-10,2021-07-01,Gathering Restrictions,Prohibit indoor gatherings of over 15 people,2,Alberta,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Alberta
Chicago,2021-06-11,NA,Gathering Restrictions,Return to normal capacity limits,0,Illinois,https://www.workforcebulletin.com/2021/06/16/covid-re-opening-phase-5-what-now-for-illinois-and-chicago-businesses/
Toronto,2021-06-11,2021-06-30,Gathering Restrictions,Prohibit all indoor gatherings,3,Ontario,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Ontario
Paris,2021-06-20,NA,Gathering Restrictions,Return to normal capacity limits,0,France,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_France
Brisbane,2021-06-29,2021-07-02,Gathering Restrictions,Prohibit all indoor gatherings,3,Queensland,https://www.broadsheet.com.au/brisbane/city-file/article/queenslanders-will-go-three-day-lockdown-6pm-tonight
Toronto,2021-06-30,2021-07-16,Gathering Restrictions,Prohibit indoor gatherings of over 5 people,2,Ontario,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Ontario
Calgary,2021-07-01,2021-09-16,Gathering Restrictions,Return to normal capacity limits,0,Alberta,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Alberta
Toronto,2021-07-16,2022-01-05,Gathering Restrictions,Prohibit indoor gatherings of over 25 people,1,Ontario,https://www.toronto.ca/home/covid-19/covid-19-reopening-recovery-rebuild/covid-19-guide-for-toronto-residents/
London,2021-07-19,NA,Gathering Restrictions,Return to normal capacity limits,0,United Kingdom,https://www.bbc.com/news/uk-57882029
Brisbane,2021-07-31,2021-08-08,Gathering Restrictions,Prohibit all indoor gatherings,3,Queensland,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Queensland
Calgary,2021-09-15,NA,State of Emergency,Province-wide state of emergency,1,Alberta,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Alberta
Calgary,2021-09-16,2022-02-09,Gathering Restrictions,Prohibit indoor gatherings of over 10 people,2,Alberta,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Alberta
Brisbane,2021-09-28,2021-09-30,Gathering Restrictions,Prohibit indoor gatherings of over 100 people,1,Queensland,https://www.theguardian.com/australia-news/2021/oct/04/qld-covid-19-brisbane-lockdown-restrictions-queensland-coronavirus-new-rules-update-mask-wear-face-masks-explained-greater-bne-sunshine-gold-coast-townsville-moreton-bay-logan-south-east-seq
Brisbane,2021-09-30,2021-10-08,Gathering Restrictions,Prohibit indoor gatherings of over 30 people,1,Queensland,https://www.skynews.com.au/australia-news/coronavirus/six-queensland-areas-to-enter-stage-two-restrictions/video/2480c6d6fa4142de4f3f7daf599a058d
Brisbane,2021-10-08,2022-03-04,Gathering Restrictions,Prohibit indoor gatherings of over 100 people,1,Queensland,https://www.healthdirect.gov.au/covid19-restriction-checker/gatherings-and-work/qld
San Antonio,2021-03-02,NA,Gathering Restrictions,Return to normal capacity limits,0,Texas,https://www.kut.org/business/2021-03-02/watch-live-gov-greg-abbott-to-make-statewide-announcement-in-lubbock
Montréal,2021-12-26,2022-02-12,Gathering Restrictions,Prohibit indoor gatherings of over 6 people,2,Québec,https://montreal.ctvnews.ca/quebec-gathering-caps-reduced-hospitals-shut-to-visitors-as-province-battles-with-explosive-omicron-wave-1.5719937
New York,2021-05-19,NA,Gathering Restrictions,Prohibit indoor gatherings of over 250 people,1,New York State,https://www.governor.ny.gov/news/governor-cuomo-governor-murphy-and-governor-lamont-announce-significant-easing-covid-19
Calgary,2022-02-09,2022-03-01,Gathering Restrictions,Prohibit indoor gatherings of over 50 people,1,Alberta,https://www.alberta.ca/covid-19-public-health-actions.aspx
Calgary,2022-03-01,NA,Gathering Restrictions,Return to normal capacity limits,0,Alberta,https://www.alberta.ca/covid-19-public-health-actions.aspx
Houston,2022-03-10,NA,Gathering Restrictions,Prohibit indoor gatherings of over 25 people,2,Harris County,https://www.click2houston.com/news/local/2022/03/10/harris-county-judge-lina-hidalgo-lowers-threat-level-from-orange-to-yellow/
Montréal,2022-02-12,NA,Gathering Restrictions,Return to normal capacity limits,0,Québec,https://montreal.ctvnews.ca/this-is-a-big-change-quebec-to-lift-covid-19-restrictions-for-restaurants-home-gatherings-bars-1.5772435
Philadelphia,2021-06-12,NA,Gathering Restrictions,Return to normal capacity limits,0,Philadelphia,https://www.nbcphiladelphia.com/news/coronavirus/philadelphia-covid-reopening-business/2809967/
San Diego,2022-04-01,NA,Gathering Restrictions,Return to normal capacity limits,0,California,https://www.northstarmeetingsgroup.com/News/Industry/Coronavirus-states-cities-reopening-COVID-19-new-cases
San Francisco,2022-04-01,NA,Gathering Restrictions,Return to normal capacity limits,0,California,https://www.northstarmeetingsgroup.com/News/Industry/Coronavirus-states-cities-reopening-COVID-19-new-cases
Toronto,2022-01-05,2022-01-31,Gathering Restrictions,Prohibit indoor gatherings of over 5 people,2,Ontario,https://news.ontario.ca/en/release/1001394/ontario-temporarily-moving-to-modified-step-two-of-the-roadmap-to-reopen
Toronto,2022-01-31,2022-02-17,Gathering Restrictions,Prohibit indoor gatherings of over 10 people,2,Ontario,https://www.blogto.com/city/2022/01/latest-changes-social-gathering-limits-ontario-new-reopening-plan/
Toronto,2022-02-17,2022-03-01,Gathering Restrictions,Prohibit indoor gatherings of over 50 people,1,Ontario,https://www.blogto.com/city/2022/02/gathering-limits-ontario-new-doug-ford-reopening/
Toronto,2022-03-01,NA,Gathering Restrictions,Return to normal capacity limits,0,Ontario,https://www.kenoraonline.com/articles/ontario-lifts-additional-restrictions-capacity-limits-vaccine-passports-removed
