metro_area,start_date,end_date,category,measure,encoding,authority,source
San Francisco,2020-03-20,2021-11-08,Major Border Closure,Ban on non-essential travel,1,United States,https://www.msn.com/en-us/news/other/biden-administration-to-lift-international-travel-ban-in-november/vi-AAPzn2L
Chicago,2020-03-21,2020-06-03,Gathering Restrictions,Prohibit all indoor gatherings,3,Illinois,https://www.chicagotribune.com/coronavirus/ct-coronavirus-illinois-shelter-in-place-lockdown-order-20200320-teedakbfw5gvdgmnaxlel54hau-story.html
Calgary,2020-03-23,2020-06-01,Park Closures,City playground closures,1,Alberta,https://calgary.ctvnews.ca/calgary-playgrounds-closed-amid-covid-19-pandemic-1.4864412
Dallas,2020-03-23,2020-05-15,Gathering Restrictions,Prohibit all indoor gatherings,3,Dallas County,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Texas
Philadelphia,2020-03-23,2020-06-10,Gathering Restrictions,Prohibit all indoor gatherings,3,Philadelphia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Pennsylvania
San Antonio,2020-03-24,2020-05-01,Gathering Restrictions,Prohibit all indoor gatherings,3,Bexar County,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Texas
Houston,2020-03-24,2020-05-01,Gathering Restrictions,Prohibit all indoor gatherings,3,Harris County,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Texas
Paris,2020-03-24,2020-07-11,State of Emergency,National state of emergency,1,France,https://www.themayor.eu/en/a/view/having-covid-19-under-control-france-lifts-the-state-of-emergency-on-11-july-5359
Toronto,2020-03-25,2020-06-24,Gathering Restrictions,Prohibit indoor gatherings of over 5 people,2,Ontario,https://www.ontario.ca/page/framework-reopening-our-province
London,2020-03-25,2022-03-05,State of Emergency,National state of emergency,1,United Kingdom,https://www.instituteforgovernment.org.uk/sites/default/files/timeline-lockdown-web.pdf
Toronto,2020-03-25,2020-05-20,Park Closures,City park closures,1,Toronto,https://www.toronto.ca/news/city-of-toronto-reopening-more-than-850-park-amenities-this-week/
Brisbane,2020-03-26,2021-02-01,Major Border Closure,State border closure,1,Queensland,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Queensland
London,2020-03-26,2020-06-01,Gathering Restrictions,Prohibit all indoor gatherings,3,United Kingdom,https://www.instituteforgovernment.org.uk/sites/default/files/timeline-lockdown-web.pdf
Chicago,2020-03-26,2021-02-23,Park Closures,City park closures,1,Chicago,https://www.chicagotribune.com/coronavirus/ct-coronavirus-chicago-lakefront-parks-closed-20200326-zdqpr2p3vfhqdoucu4hqcrtepa-story.html
Calgary,2020-03-28,2020-06-12,Gathering Restrictions,Prohibit indoor gatherings of over 15 people,2,Alberta,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Alberta
Montréal,2020-03-28,2020-05-22,Park Closures,City garden closures,1,Québec,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Montreal
Brisbane,2020-03-29,2020-05-10,Gathering Restrictions,Prohibit indoor gatherings of over 2 people,3,Australia,https://www.abc.net.au/news/2020-03-29/public-gatherings-limited-to-two-people-coronavirus-covid-19/12101162
Phoenix,2020-03-31,2020-05-15,Gathering Restrictions,Prohibit all indoor gatherings,3,Arizona,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Arizona
Phoenix,2020-03-31,2020-10-08,Park Closures,City park closures,1,Phoenix,https://www.phoenix.gov/newsroom/parks-and-recreation/1102
Houston,2020-04-09,2020-04-13,Park Closures,County park closures,1,Harris County,https://houston.culturemap.com/news/city-life/04-09-20-harris-county-parks-closed-easter-weekend-monday-april-13-reopen/
San Antonio,2020-04-10,2020-04-13,Park Closures,County park closures,1,Bexar County,https://news4sanantonio.com/news/local/san-antonio-area-parks-to-be-closed-for-easter-weekend
Houston,2020-05-01,2020-07-03,Gathering Restrictions,Return to partial capacity limits,1,Texas,https://www.wfaa.com/article/news/health/coronavirus/heres-whats-reopening-texas-phase-1-begins-restaurants-bars-church-nail-salon/287-4367ea93-e363-4178-99f3-6bd1a177ca9b
