Date,More Than Year,More Than 3 Months,Official Rate,Plus Discouraged,Plus Waiting,Plus Involuntary Part-Time,Plus All
2017-01-01,0.9,2.3,6.5,6.6,7.2,8.8,9.8
2017-02-01,0.9,2.3,6.4,6.4,7.1,8.5,9.4
2017-03-01,0.8,2.5,6.8,6.9,7.6,9,10
2017-04-01,0.7,2.4,6,6.1,6.6,8.3,9
2017-05-01,0.7,2.4,6.6,6.7,7.3,8.9,9.6
2017-06-01,0.6,2,6.2,6.3,6.5,8.7,9.1
2017-07-01,0.6,1.9,6.6,6.8,7.4,9.1,10
2017-08-01,0.7,2.1,6.4,6.5,6.7,8.6,9.2
2017-09-01,0.6,1.9,5.4,5.5,5.9,7.4,8
2017-10-01,0.6,2,5.5,5.6,5.8,7.2,7.8
2017-11-01,0.6,1.8,5,5.1,5.5,7,7.5
2017-12-01,0.8,2,5,5.2,5.5,7,7.7
2018-01-01,0.6,1.9,5.8,5.9,6.6,7.8,8.7
2018-02-01,0.5,2,5.6,5.8,6.6,7.6,8.7
2018-03-01,0.5,2.1,6,6.2,7,7.7,9.1
2018-04-01,0.5,2.2,5.6,5.7,6.2,7.4,8.3
2018-05-01,0.5,1.9,6.2,6.3,6.8,7.7,8.7
2018-06-01,0.6,1.9,5.9,6,6.2,7.8,8.5
2018-07-01,0.5,1.8,6,6.2,6.8,8.2,9.2
2018-08-01,0.6,2,6.6,6.7,7.1,8.3,9.1
2018-09-01,0.6,1.9,5.7,5.7,6.2,7.2,8
2018-10-01,0.5,1.8,5.3,5.4,5.8,6.7,7.5
2018-11-01,0.5,1.7,5,5.1,5.6,6.9,7.6
2018-12-01,0.5,1.8,4.8,4.8,5.3,6.7,7.3
2019-01-01,0.6,1.7,5.9,6,6.5,7.9,8.6
2019-02-01,0.6,1.8,5.8,5.8,6.5,7.6,8.5
2019-03-01,0.6,1.9,6.4,6.5,7.3,8.1,9.2
2019-04-01,0.5,2.2,6,6,6.5,7.7,8.4
2019-05-01,0.4,1.6,5.6,5.7,6.2,7.3,8.1
2019-06-01,0.4,1.8,5.5,5.6,5.9,7.4,7.9
2019-07-01,0.4,1.5,6.4,6.5,7.4,8,9.4
2019-08-01,0.4,1.5,6.4,6.5,6.7,8.1,8.8
2019-09-01,0.3,1.5,5,5.1,5.3,6.7,7.2
2019-10-01,0.5,1.5,4.8,4.9,5.1,6.4,6.9
2019-11-01,0.5,1.6,5,5.1,5.4,6.7,7.2
2019-12-01,0.4,1.4,4.7,4.8,5.2,6.4,7
2020-01-01,0.4,1.5,5.3,5.4,5.9,7.2,8.1
2020-02-01,0.5,1.8,5.5,5.6,6.4,7.3,8.3
2020-03-01,0.5,1.9,8,8.3,9.3,9.4,11.3
2020-04-01,0.4,2.1,11.3,12,13.9,12.6,16.1
2020-05-01,0.4,2.3,13.9,14.7,16.5,15.1,19
2020-06-01,0.5,4.5,12.3,12.8,14.1,13.6,16.4
2020-07-01,0.5,5.2,12.2,12.7,14,14.4,17.1
2020-08-01,0.5,5,11.9,12.3,12.9,14,15.8
2020-09-01,0.5,4.3,9.1,9.4,9.8,10.9,12.3
2020-10-01,0.7,4.3,8.8,8.9,9.6,10.6,11.9
2020-11-01,0.5,3.8,8.3,8.6,9.1,10.3,11.6
2020-12-01,0.8,4.3,8.5,9,9.2,10.5,11.8
2021-01-01,1,4.2,10.2,10.6,11.4,11.7,13.8
2021-02-01,0.8,4.1,9.1,9.5,10.2,10.9,12.8
2021-03-01,1.4,4.2,8.1,8.4,9.2,9.9,11.4
