Start Date,End Date,Category,Measure,Authority,Source
2020-03-12,2020-09-08,School Closures,School closure,Ontario,https://www.ontario.ca/page/letter-ontarios-parents-minister-education?_ga=2.136919282.393788156.1592843408-905058208.1581619749
2020-03-13,2020-03-16,Gathering Restrictions,Prohibit gatherings of over 250 people,Ontario,https://www.ontario.ca/page/framework-reopening-our-province
2020-03-16,2020-03-25,Gathering Restrictions,Prohibit gatherings of over 50 people,Ontario,https://www.ontario.ca/page/framework-reopening-our-province
2020-03-17,2020-07-24,State of Emergency,Province state of emergency,Ontario,https://www.ontario.ca/document/report-ontarios-provincial-emergency-march-17-2020-july-24-2020
2020-03-18,NA,Travel Restrictions,Border closure,Canada,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/publications-manuals/operational-bulletins-manuals/service-delivery/coronavirus/travel-restrictions.html
2020-03-20,NA,Travel Restrictions,U.S. border closure,Canada,https://www.canada.ca/en/border-services-agency/news/2020/04/travel-restrictions-still-in-place-at-international-border-crossings-for-the-upcoming-long-weekend.html
2020-03-23,NA,State of Emergency,City state of emergency,Toronto,https://www.toronto.ca/news/city-council-extends-the-declaration-of-the-state-of-emergency-in-toronto/
2020-03-24,2020-06-24,Business Closures,Non-essential business closure,Ontario,https://www.ontario.ca/page/framework-reopening-our-province
2020-03-25,2020-06-24,Gathering Restrictions,Prohibit gatherings of over 5 people,Ontario,https://www.ontario.ca/page/framework-reopening-our-province
2020-03-25,2020-05-20,Park Closures,City park closures,Toronto,https://www.toronto.ca/news/city-of-toronto-reopening-more-than-850-park-amenities-this-week/
2020-03-30,2020-05-11,Park Closures,Province park closures,Ontario,https://www.ontario.ca/page/framework-reopening-our-province
2020-06-24,2020-07-31,Gathering Restrictions,Prohibit gatherings of over 10 people,Ontario,https://www.ontario.ca/page/reopening-ontario-stages?_ga=2.90980435.832529307.1584736554-239109524.1558460577
2020-06-24,2020-07-31,Business Closures,Stage 2 reopening,Ontario,https://www.ontario.ca/page/reopening-ontario-stages?_ga=2.90980435.832529307.1584736554-239109524.1558460577
