Start Date,End Date,Category,Measure,Authority,Source
2020-07-07,NA,Mandatory Masks,City mandatory mask policy,Toronto,https://www.toronto.ca/news/mandatory-masks-or-face-covering-bylaw-in-effect-today/
2020-07-31,2020-09-19,Gathering Restrictions,Prohibit gatherings of over 50 people,Ontario,https://www.ontario.ca/page/framework-reopening-our-province
2020-07-31,2020-10-10,Business Closures,Stage 3 reopening,Ontario,https://www.ontario.ca/page/reopening-ontario-stages?_ga=2.90980435.832529307.1584736554-239109524.1558460577
2020-09-19,2020-11-14,Gathering Restrictions,Prohibit gatherings of over 10 people,Ontario,https://www.ontario.ca/page/reopening-ontario-stages?_ga=2.90980435.832529307.1584736554-239109524.1558460577
2020-09-26,2020-10-10,Business Closures,Restrictions on bars and restaurants,Ontario,https://www.ontario.ca/page/reopening-ontario-stages?_ga=2.90980435.832529307.1584736554-239109524.1558460577
2020-10-03,2020-10-10,Business Closures,Indoor dining prohibited,Ontario,https://www.theglobeandmail.com/canada/article-ontario-cabinet-reviewing-strict-new-restrictions-in-toronto-ottawa/
2020-10-03,NA,Mandatory Masks,Province mandatory mask policy,Ontario,https://toronto.citynews.ca/video/2020/10/02/mandatory-mask-policy-extended-to-all-of-ontario-says-premier-ford/
2020-10-10,2020-11-14,Business Closures,Stage 2 reopening,Ontario,https://www.thestar.com/news/canada/2020/10/09/moving-toronto-back-to-stage-2-heartbreaking-but-necessary-says-councillor.html
2020-11-14,2021-03-08,Gathering Restrictions,Prohibit gatherings of over 5 people,Ontario,https://www.ontario.ca/page/covid-19-response-framework-keeping-ontario-safe-and-open?fbclid=IwAR34f9Gs0xePrsusLmsbKsx6HWwJJrrGmaOsk_m1Lph3NRT6G_n82ZvQDvI#red
2020-11-14,2021-03-08,Business Closures,"""Control"" (red) tier",Ontario,https://toronto.ctvnews.ca/toronto-moved-into-red-zone-saturday-with-stricter-city-imposed-shutdowns-1.5189018
2020-11-23,2021-03-08,Lockdowns,City lockdown,Ontario,https://ca.news.yahoo.com/toronto-peel-lockdown-covid-19-coronavirus-205548555.html
2020-12-26,2021-03-08,Lockdowns,Province lockdown,Ontario,https://toronto.ctvnews.ca/ontario-will-enter-strict-lockdown-on-dec-26-nearly-all-non-essential-businesses-to-close-1.5239810
2021-01-04,2021-02-16,School Closures,School closure,Ontario,https://news.ontario.ca/en/release/59790/ontario-announces-provincewide-shutdown-to-stop-spread-of-covid-19-and-save-lives
2021-01-12,2021-02-09,State of Emergency,Province state of emergency,Ontario,https://ca.news.yahoo.com/ontario-declares-state-emergency-issues-192544357.html
2021-01-14,2021-02-22,Lockdowns,Stay-at-home orders,Ontario,https://ca.news.yahoo.com/ontario-declares-state-emergency-issues-192544357.html
2021-01-31,NA,Travel Restrictions,Mandatory test and quarantine for travellers,Canada,https://www.canada.ca/en/transport-canada/news/2021/01/government-of-canada-introduces-further-restrictions-on-international-travel.html
2021-03-08,NA,Business Closures,"""Lockdown"" (gray) tier",Ontario,https://www.toronto.ca/news/covid-19-restrictions-in-grey-zone-of-the-province-of-ontarios-covid-19-response-framework/
2021-03-08,NA,Gathering Restrictions,Prohibit all gatherings,Ontario,https://www.ontario.ca/page/covid-19-response-framework-keeping-ontario-safe-and-open?fbclid=IwAR34f9Gs0xePrsusLmsbKsx6HWwJJrrGmaOsk_m1Lph3NRT6G_n82ZvQDvI#grey
2021-04-03,NA,Lockdowns,Province lockdown,Ontario,https://news.yahoo.com/ontario-lockdown-covid19-cases-doug-ford-vaccine-180041931.html
2021-04-07,NA,School Closures,School closure,Toronto,https://www.toronto.ca/news/toronto-public-health-issues-section-22-order-to-move-all-toronto-schools-to-remote-learning/
2021-04-08,NA,State of Emergency,Province state of emergency,Ontario,https://toronto.ctvnews.ca/ontario-issues-emergency-alert-on-new-stay-at-home-order-to-curb-covid-19-1.5378993
2021-04-08,NA,Lockdowns,Stay-at-home orders,Ontario,https://toronto.ctvnews.ca/ontario-issues-emergency-alert-on-new-stay-at-home-order-to-curb-covid-19-1.5378993
