Reported Date,Recovered,Active,Deceased
2021-04-12,1,601,
2021-04-11,9,1051,
2021-04-10,31,1328,1
2021-04-09,42,1218,1
2021-04-08,48,1129,1
2021-04-07,76,1020,2
2021-04-06,80,1053,1
2021-04-05,92,760,1
2021-04-04,131,770,2
2021-04-03,184,666,3
2021-04-02,272,706,2
2021-04-01,373,513,1
2021-03-31,531,435,5
2021-03-30,617,231,3
2021-03-29,682,49,3
2021-03-28,615,13,5
2021-03-27,642,19,5
2021-03-26,875,13,6
2021-03-25,774,9,3
2021-03-24,738,9,3
2021-03-23,638,6,1
2021-03-22,548,7,4
2021-03-21,488,7,2
2021-03-20,550,4,3
2021-03-19,532,4,3
2021-03-18,547,1,4
2021-03-17,478,1,2
2021-03-16,463,1,4
2021-03-15,362,3,4
2021-03-14,365,1,2
2021-03-13,467,4,4
2021-03-12,490,2,7
2021-03-11,394,,2
2021-03-10,406,2,5
2021-03-09,399,3,3
2021-03-08,370,3,5
2021-03-07,417,2,2
2021-03-06,374,1,3
2021-03-05,333,,1
2021-03-04,389,2,3
2021-03-03,320,,2
2021-03-02,352,,4
2021-03-01,245,,2
2021-02-28,319,,1
2021-02-27,265,3,1
2021-02-26,330,,6
2021-02-25,360,3,4
2021-02-24,378,3,2
2021-02-23,384,4,2
2021-02-22,254,3,4
2021-02-21,336,4,4
2021-02-20,326,1,5
2021-02-19,394,2,7
2021-02-18,361,1,4
2021-02-17,406,1,6
2021-02-16,297,2,4
2021-02-15,320,1,9
2021-02-14,238,,4
2021-02-13,284,1,9
2021-02-12,361,1,1
2021-02-11,385,3,9
2021-02-10,420,2,9
2021-02-09,401,,4
2021-02-08,285,3,12
2021-02-07,398,3,5
2021-02-06,363,1,3
2021-02-05,436,5,6
2021-02-04,425,3,3
2021-02-03,460,5,4
2021-02-02,534,1,5
2021-02-01,458,,5
2021-01-31,562,3,7
2021-01-30,615,4,4
2021-01-29,607,4,13
2021-01-28,575,6,5
2021-01-27,621,3,7
2021-01-26,658,2,6
2021-01-25,464,,12
2021-01-24,647,4,15
2021-01-23,704,,8
2021-01-22,763,4,10
2021-01-21,640,2,16
2021-01-20,751,1,10
2021-01-19,978,3,13
2021-01-18,873,1,16
2021-01-17,542,,12
2021-01-16,852,,16
2021-01-15,961,1,12
2021-01-14,892,1,11
2021-01-13,839,,17
2021-01-12,999,1,12
2021-01-11,806,1,14
2021-01-10,725,1,13
2021-01-09,941,,19
2021-01-08,1149,2,17
2021-01-07,1600,6,34
2021-01-06,1000,1,13
2021-01-05,939,1,27
2021-01-04,727,5,11
2021-01-03,716,,17
2021-01-02,912,,18
2021-01-01,827,1,19
2020-12-31,805,1,15
2020-12-30,489,1,10
2020-12-29,1006,,10
2020-12-28,781,,9
2020-12-27,590,1,16
2020-12-26,735,,14
2020-12-25,679,,14
2020-12-24,475,,7
2020-12-23,582,,10
2020-12-22,791,2,18
2020-12-21,636,,15
2020-12-20,790,,13
2020-12-19,558,,16
2020-12-18,644,,15
2020-12-17,692,,17
2020-12-16,694,,18
2020-12-15,661,1,34
2020-12-14,666,1,10
2020-12-13,611,1,16
2020-12-12,581,,11
2020-12-11,514,,20
2020-12-10,538,1,12
2020-12-09,493,,11
2020-12-08,520,,11
2020-12-07,541,1,9
2020-12-06,538,1,11
2020-12-05,590,,9
2020-12-04,617,,15
2020-12-03,540,,11
2020-12-02,555,,9
2020-12-01,411,,10
2020-11-30,502,,9
2020-11-29,619,,11
2020-11-28,537,3,5
2020-11-27,529,1,13
2020-11-26,581,,19
2020-11-25,504,3,8
2020-11-24,391,,12
2020-11-23,417,1,2
2020-11-22,450,1,9
2020-11-21,485,1,7
2020-11-20,522,1,6
2020-11-19,420,,4
2020-11-18,424,,7
2020-11-17,400,,14
2020-11-16,402,,6
2020-11-15,478,,2
2020-11-14,447,,8
2020-11-13,435,,11
2020-11-12,498,,5
2020-11-11,450,,8
2020-11-10,500,,16
2020-11-09,409,,12
2020-11-08,506,,9
2020-11-07,371,,8
2020-11-06,432,,25
2020-11-05,410,,4
2020-11-04,294,,11
2020-11-03,314,,19
2020-11-02,294,,11
2020-11-01,406,,5
2020-10-31,304,2,4
2020-10-30,338,,5
2020-10-29,295,,9
2020-10-28,279,,9
2020-10-27,385,1,7
2020-10-26,307,,3
2020-10-25,329,,8
2020-10-24,286,,9
2020-10-23,329,1,6
2020-10-22,349,,9
